Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R/W (Up to, in MB/s)",Categories
WD,AN1500,x8 PCIe 3.0/NVMe,AIC,1TB-4TB,2xWD + 88NR2241,2xSN750 controller + RAID,Yes,No,SanDisk,TLC,,6500/4100,High-End NVMe
Acer,GM9000,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,SMI SM2508,,Yes,N/A,Micron,TLC,232,14000/13000,High-End NVMe
ADATA,Legend 970,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,10000/10000,High-End NVMe
ADATA,Legend 970 PRO,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,InnoGrit IG5666,,Yes,N/A,Micron,TLC,232,14000/11000,High-End NVMe
ADATA,Mars 970 Blade,x4 PCIe 5.0/NVMe,M.2,4TB,,,,,,,,14000/12000,
ADATA,Mars 970 Storm,x4 PCIe 5.0/NVMe,M.2,8TB,,,,,,,,14000/12000,
ADATA,Mars 980 Blade,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,SMI SM2508,,Yes,N/A,,,,14000/13000,
ADATA,Project Blackbird,x4 PCIe 5.0/NVMe,M.2,,InnoGrit IG5666,,,,,,,,
ADATA,Project NeonStorm,x4 PCIe 5.0/NVMe,M.2,1TB-8TB,SMI SM2508,,Yes,No,Micron,TLC,232,14000/12000,High-End NVMe
ADATA,Project Nighthawk,x4 PCIe 5.0/NVMe,M.2,,SMI SM2508,,,,,,,14000/?,
Apacer,AS2280F4,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,12400/11500,High-End NVMe
Apacer,AS2280F5,x4 PCIe 5.0/NVMe,M.2,,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,13000/12000,High-End NVMe
Biwin,X570 PRO,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,SMI SM2508,,Yes,N/A,YMTC,TLC,232,14000/13000,High-End NVMe
CFD Gaming,PG5NFZ,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,10000/9500,High-End NVMe
Corsair,MP700,x4 PCIe 5.0/NVMe,M.2,2TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,10000/9500,High-End NVMe
Corsair,MP700 Elite,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E31T,,No,Yes,Kioxia,TLC,218,10000/8500,High-End NVMe
Corsair,MP700 Micro,x4 PCIe 5.0/NVMe,M.2,2TB-4TB,Phison E31T,,No,Yes,Sandisk,TLC,218,10000/8500,
Corsair,MP700 PRO,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12400/11800,High-End NVMe
Corsair,MP700 PRO SE,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,14000/14000,High-End NVMe
Corsair,MP700 PRO XT,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E28,,Yes,N/A,Sandisk,TLC,218,14900/14500,High-End NVMe
Crucial,T700,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12400/11800,High-End NVMe
Crucial,T705,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,14500/12700,High-End NVMe
Crucial,T710,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,,,Yes,N/A,Micron,TLC,276,14900/13800,High-End NVMe
Essencore,E540,x4 PCIe 5.0/NVMe,M.2,,Maxio MAP1806A,,No,Yes,,,,,
Essencore,E550,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,,,,,,,,14000/12500,
Galax,HOF 5.0,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,10000/9500,High-End NVMe
Gigabyte,Gen5 Aorus 10000,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,9500/8500,High-End NVMe
Gigabyte,Gen5 Aorus 12000,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12000/12000,High-End NVMe
Gigabyte,Gen5 Aorus 14000,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,14500/12700,High-End NVMe
Goodram,IRDM Ultimate,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,,,,,High-End NVMe
Hynix,Platinum P51,x4 PCIe 5.0/NVMe,M.2,500GB-2TB,Alistair,R8,Yes,N/A,Hynix,TLC,238,14700/13400,High-End NVMe
Inland,TD510,x4 PCIe 5.0/NVMe,M.2,2TB-4TB,Phison E26,"Dual R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,10000/9500,High-End NVMe
Kingston,Renegade G5,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,SMI SM2508,,Yes,N/A,Micron,TLC,232,14800/1400,High-end NVMe
Kioxia,Exceria Plus G4,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E31T,,,,Kioxia,TLC,,10000/8200,
KLEVV,CRAS C950,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12000/?,High-End NVMe
KLEVV,G530,x4 PCIe 5.0/NVMe,M.2,,,,,,,,,10300/8600,
KLEVV,Genuine G560,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,,,,,,,,14000/12000,High-End NVMe
Lenovo,SL7000 50E,x4 PCIe 5.0/NVMe,M.2,512GB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12400/?,High-End NVMe
Lexar,ARES PRO,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,,,,,,,,14000/11000,
Lexar,NM990,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,,,,,,,,14000/11000,High-End NVMe
Lexar,NM1090,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,,,,,,,,14000/12000,High-End NVMe
Lexar,NM1090 Pro,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,SMI SM2508,,,,,,,14000/13000,High-End NVMe
MSI,M560,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E31T,"Single R5 + CoX, 4-CH, 4-CE/ch",No,Yes,,,,,
MSI,M570,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,10000/10000,High-End NVMe
MSI,M570 Pro,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12400/10000,High-End NVMe
Neo Forza,NFP455,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,10000/10000,High-End NVMe
Nextorage,NE5N,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,,High-End NVMe
Nextorage,NN5Pro,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12400/11800,High-End NVMe
Patriot,PD573,x4 PCIe 5.0/NVMe,M.2,1TB-8TB,Maxio MAP1802,,No,Yes,,TLC,,14000/12000,High-End NVMe
Patriot,PV553,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12400/11800,High-End NVMe
Patriot,PV563,x4 PCIe 5.0/NVMe,M.2,,,,,,,,,14000/11500,
Patriot,PV593,x4 PCIe 5.0/NVMe,M.2,,,,,,,,,14000/10000,
PNY,CS3150,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12000/11000,High-End NVMe
PNY,CS3250,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E28,,Yes,N/A,Sandisk,TLC,218,14900/14000,High-End NVMe
Sabrent,Rocket 5,x4 PCIe 5.0/NVMe,M.2,1TB-8TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,,High-End NVMe
Samsung,9100 Pro,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Samsung Presto,,Yes,N/A,Samsung,TLC,236L,14700/13400,
Seagate,FireCuda 540,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,10000/10000,High-End NVMe
Silicon Power,US85,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,,,,,,,,10300/8600,High-End NVMe
Silicon Power,XS80,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,10000/10000,High-End NVMe
Silicon Power,XS90,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,,,,,,,,,
Team,GA Pro,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,InnoGrit IG5666,,,,,TLC,232,10000/8500,
Team,GC Pro,x4 PCIe 5.0/NVMe,M.2,2TB-4TB,InnoGrit IG5666,,Yes,N/A,YMTC,TLC,232,12500/11000,
Team,GE Pro,x4 PCIe 5.0/NVMe,M.2,,InnoGrit IG5666,,Yes,No,Micron,TLC,232,14000/12000,High-End NVMe
Team,GC Pro,x4 PCIe 5.0/NVMe,M.2,2TB-4TB,,,,,,,,12500/11000,
Team,I54,x4 PCIe 5.0/NVMe,M.2,,,,,,,,,,
Team,ME Pro,x4 PCIe 5.0/NVMe,M.2,,SMI SM2508,,Yes,N/A,,TLC,,14000/12000,
Team,NV10000,x4 PCIe 5.0/NVMe,M .2,1TB-4TB,Phison E31T,,No,Yes,Kioxia,TLC,218,10000/8500,
Team,Z540,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12000/10000,High-End NVMe
Team,Z54A,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,InnoGrit IG5666,,Yes,No,Micron,TLC,232,14000/11000,High-End NVMe
Team,Z54A4,x4 PCIe 5.0/NVMe,M.2,,Maxio MAP1806,,,,YMTC,TLC,,14000/12000,
Team,Z54E,x4 PCIe 5.0/NVMe,M.2,,Phison E28,,,,Kioxia,TLC,218,14000/14000,
Transcend,MTE260S,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,,,,,,,,14000/11000,
Verbatim,Vi12000,x4 PCIe 5.0/NVMe,M.2,,,,,,,,,,
Acer,FA200,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,QLC,232,7200/6200,
