name,score
Seagate FireCuda 530 ZP1000GM30013,43730
WD BLACK SN850 PS5 2TB,43711
WPBSN4M8-1TGP,43696
XG7000-4TB 2280,43683
NVMe Viper VP4300L 2TB,43675
Samsung SSD 990 EVO Plus 4TB,43664
SSDPR-PX700-04T-80,43613
X400-2TB 2280,43564
DGST4001TG33T,43563
Fanxiang S790 2TB,43556
XG7000-2TB 2280,43549
Corsair MP600 MICRO,43525
Fanxiang S880 1TB,43487
YMTC YMSS2CD08D25MC,43458
Sabrent Rocket 4 Plus 2TB SSD,43450
Sabrent Rocket 4 Plus 4TB SSD,43416
PC811 SED SK hynix 512GB,43415
HP SSD FX900 Plus M.2 2TB,43399
KIOXIA XG8 LA 4TB SSD,43390
Fantom VENOM8 1TB SSD,43389
GeIL P4S 2TB,43384
CT2000T500SSD5,43371
Lexar SSD NM990 1TB,43357
ARSDS-1TB,43342
Western Digital PC SN5000S 2TB SSD,43305
WD BLACK SN850 2TB,43281
SHPP41-2000GM,43272
SAMSUNG MZVL82T0HBL1-00BH1,43258
T-FORCE TM8FFW004T,43239
MS950G75PCIe4 2048G,43226
Viper VP4300L 1TB,43220
TEAM TM8FFD004T,43214
KIOXIA-EXCERIA PRO SSD,43182
IRP-SSDPR-P44A-4K0-80,43169
BTSystem E.POT LUX N2000 1TB SSD,43164
PHIXERO 4TB SSD,43137
T-FORCE TM8FPZ001T,43135
GIGABYTE GP-AG70,43108
Transcend TS1TMTE250S,43106
Predator SSD GM7000 1TB,43093
EDILOCA EN870 1TB SSD,43088
KINGSTON OM8TAP42048K1-A00,43088
T-CREATE TM8FFC001T,43078
T-CREATE TM8FPM002T,43046
BIWIN NV7200 1TB,43038
Netac 4TB SSD,43034
Transcend TS1TMTE250H,43006
CSSD-M2M1TPG4NZL,42983
WD PC SN810 SDCQNRY 1TB,42966
MTFDKBA1T0TGD-1BK1AABHA,42948
GIGABYTE AG470S1TB-SI B10,42944
SAMSUNG MZVL2512HDJD-00BL7,42928
ZHITAI Ti600 1TB,42913
WD BLACK SN850 1TB,42906
PC SN8000S SDEPNRK-512G-1006,42872
WD PC SN810 SDCPNRZ 2TB,42840
Lexar SSD ARES 1TB,42792
Seagate ZP4000GM30063,42760
ESR01TBTLCZ-27J-2,42757
KINGSTON SFYRSY500G,42675
IRP-SSDPR-P44A-1K0-80,42668
HIKSEMI HS FUTURE 2TB,42659
WD PC SN810 SDCPNRY 1TB,42651
MTFDKBA1T0QGN-1BN1AABHA,42632
BIWIN SSD LN950 1TB,42626
XPG GAMMIX S70 BLADE 1TB,42617
Nextorage SSD NEM-PA1TB,42606
Q7000MN 1TB,42601
Fanxiang S880 4TB,42598
MiWhole CT300 1TGB,42587
ORICO-1TB,42587
SAMSUNG MZVL2512HDJD-00B07,42586
KINGSTON NV3 4TB SSD,42580
PM9C1b Samsung 1024GB,42562
NVMe WD PC SN5000S SDEQNSJ-2T00-1002,42539
MTFDKBA1T0TGD-1BK1AABHB,42518
PLEXTOR PX-1TM10PGN,42497
PLEXTOR PX-512M10PG,42485
OSC PCIe 2TB,42476
BROADCOM MR9560-16i,42474
Crucial T500 1TB SSD,42434
UMIS RPEYJ1T24MLR1HWQ,42419
KINGSTON SKC3000,42409
Acer N7000 1TB SSD,42401
EDILOCA EN870 4TB SSD,42371
Predator SSD GM7 2TB,42371
YMTC PC411-2048GB-B,42344
GIGABYTE GP-AG70S2TB,42341
SAMSUNG MZVL81T0HFLB-00BLL,42316
SHPP41-1000GM,42311
MKNSSDGA2TB-D8,42273
Fanxiang S790 1TB,42269
ADATA LEGEND 960 1TB SSD,42265
Verbatim Vi7000 1TB SSD,42246
iDsonix-2TB,42229
SKHynix HFS001TEJ9X115N,42219
Samsung 990 Pro PM9F1 512GB SSD,42214
Fanxiang S880 2TB,42210
SM2268XT ISP - 4TB,42191
WD BLACK SN850 Heatsink 1TB,42181
SSSTC CL6-8U1024,42168
Micron 3500 MTFDKBA1T0TGD-1BK15ABYY,42136
NVMe Micron 3400 MTFDKBA2T0TFH,42110
SAMSUNG MZVLC512HFJD-00BLL,42073
SK Hynix PVC10 1TB SSD,42055
ANACOMDA I4S 2TB PCIE,42032
Lexar SSD NQ7A1 2TB,41991
WD BLACK SN850 PS5 1TB,41918
HFS001TEJ9X101N,41899
KIOXIA XG8 2TB SSD,41895
HP SSD FX700 2TB,41845
E27-1TB-PHISON-SSD-V7QLC,41745
Colorful CN700 1TB PRO,41739
CUSU CV7000 1TB,41728
Predator SSD GM6 1TB,41724
ZETTASTONE CP300Y 1024GB,41699
WD BLACK SN850 Heatsink 2TB,41698
GIGABYTE AG4731TB N,41693
Seagate FireCuda 530 1TB with Heatsink,41680
ORICO-2TB,41675
SSD-M2-Blaze GD-704,41670
T-FORCE TM8FFQ512G,41627
P0527 Phison 512GB,41600
NVMe SAMSUNG MZVL81T0HFLB-00BTW,41595
THULL APEX SERIES 1TB SSD,41588
WD BLACK SN7100X 2TB,41587
HS-SSD-G4000 1024G,41576
NVMe SHPP41-1000GM,41570
APSFG-1T-CSUS,41561
Samsung SSD 990 EVO Plus 2TB,41527
T-FORCE TM8FFH001T,41509
Samsung SSD 980 PRO 2TB,41485
Seagate FireCuda SE SSD ZP1000GM30033,41477
KIOXIA XG8 1TB SSD,41472
HIKSEMI HS FUTURE Lite 1TB,41466
WD PC SN740 SDDPNQD-1T00-1036,41433
Seagate Game Drive 1TB SSD,41425
SAMSUNG MZVL2512HDJD-00BT7,41403
BIWIN NV7400 1TB,41391
Apacer AS2280Q4U 1TB,41360
Hanye HE70-1TBNHS1,41343
Nextorage SSD NE1N4TB,41336
WD PC SN5000S SDEPNSJ-1T00-1001,41331
HFS002TEJ9X125N,41329
HP SSD FX900 Plus 2TB,41324
Vi5000 SSD,41321
Phison E80T 1TB SSD,41281
UMIS RPJYJ1T24MML1AWY,41261
ORICO,41257
SAMSUNG MZQL27T6HBLA-00A07,41228
Phison,41220
ZHITAI TiPlus7100 4TB,41173
KINGSTON SFYRS10,41127
Nextorage SSD NE1N1TB,41126
KINGSTON OM8TAP41024K1-A00,41070
PCH-ALDLP-1TB,41009
SAMSUNG MZAL81T0HFLB-00BLL,40985
Netac NV7000-t 2TB SSD,40982
SKHynix HFS001TEJ9X162N,40977
KIOXIA XG8 LA 2TB SSD,40954
Lexar SSD ARES 4TB,40947
SKHynix HFS512GEM9X169N,40935
XG7000-1TB PRO,40931
NV47002TBY3G1,40929
Lexar SSD EQ790 1TB,40923
Seagate Game Drive ZP1000GP300001,40912
ADATA LEGEND 900 PRO 1TB SSD,40906
KINGSTON NV3 2TB SSD,40904
Lexar NQ790 1TB SSD,40878
SKHynix HFS001TEJ9X102N,40852
Micron 3500 1TB,40842
Lexar NM790 1TB SSD,40830
PNY CS3140 1TB SSD,40819
